offset,ea,b0,b1,b2,action,target,notes
95,0x1108,25,E0,FF,.,.,
96,0x1109,E0,FF,E0,.,.,
97,0x110A,FF,E0,54,.,.,
98,0x110B,E0,54,F3,.,.,
99,0x110C,54,F3,4F,.,.,
9A,0x110D,F3,4F,F0,.,.,
9B,0x110E,4F,F0,ED,.,.,
9C,0x110F,F0,ED,22,.,.,
9D,0x1110,ED,22,A3,.,.,
9E,0x1111,22,A3,E0,.,.,
9F,0x1112,A3,E0,90,.,.,
A0,0x1113,E0,90,11,.,.,
A1,0x1114,90,11,9C,.,.,
A2,0x1115,11,9C,F0,.,.,
A3,0x1116,9C,F0,90,.,.,
A4,0x1117,F0,90,11,.,.,
A5,0x1118,90,11,9B,.,.,
A6,0x1119,11,9B,E0,.,.,
A7,0x111A,9B,E0,54,.,.,
A8,0x111B,E0,54,F8,.,.,
A9,0x111C,54,F8,22,.,.,
AA,0x111D,F8,22,EB,.,.,
AB,0x111E,22,EB,25,.,.,
AC,0x111F,EB,25,E0,.,.,
AD,0x1120,25,E0,24,.,.,
AE,0x1121,E0,24,7C,.,.,
AF,0x1122,24,7C,F5,.,.,
B0,0x1123,7C,F5,82,.,.,
B1,0x1124,F5,82,E4,.,.,
B2,0x1125,82,E4,34,.,.,
B3,0x1126,E4,34,0D,.,.,
B4,0x1127,34,0D,F5,.,.,
B5,0x1128,0D,F5,83,.,.,
B6,0x1129,F5,83,22,.,.,
B7,0x112A,83,22,3E,.,.,
B8,0x112B,22,3E,FE,.,.,
B9,0x112C,3E,FE,C3,.,.,
BA,0x112D,FE,C3,E4,.,.,
BB,0x112E,C3,E4,9F,.,.,
BC,0x112F,E4,9F,FF,.,.,
BD,0x1130,9F,FF,E4,.,.,
BE,0x1131,FF,E4,9E,.,.,
BF,0x1132,E4,9E,F0,.,.,
C0,0x1133,9E,F0,A3,.,.,
C1,0x1134,F0,A3,EF,.,.,
C2,0x1135,A3,EF,F0,.,.,
C3,0x1136,EF,F0,22,.,.,
C4,0x1137,F0,22,54,.,.,
C5,0x1138,22,54,03,.,.,
C6,0x1139,54,03,C4,.,.,
C7,0x113A,03,C4,54,.,.,
C8,0x113B,C4,54,F0,.,.,
C9,0x113C,54,F0,FF,.,.,
CA,0x113D,F0,FF,E0,.,.,
CB,0x113E,FF,E0,54,.,.,
CC,0x113F,E0,54,CF,.,.,
CD,0x1140,54,CF,4F,.,.,
CE,0x1141,CF,4F,F0,.,.,
