Address	Function	Instruction
code:0000BCD8	code_BC8B	                movx    A, @DPTR
code:0000BCDB	code_BC8B	                movx    @DPTR, A
code:0000BCE9	code_BC8B	                movx    A, @DPTR
code:0000BCED	code_BC8B	                movx    @DPTR, A
code:0000BCF1	code_BC8B	                movx    A, @DPTR
code:0000BCF4	code_BC8B	                movx    A, @DPTR
code:0000BD01	code_BC8B	                movx    A, @DPTR
code:0000BD09	code_BC8B	                movx    @DPTR, A
code:0000BD87	code_BD78	                movx    @DPTR, A
code:0000BD8B	code_BD78	                movx    @DPTR, A
code:0000BD8F	code_BD78	                movx    @DPTR, A
code:0000BDAA	code_BD78	                movx    @DPTR, A
code:0000BDB5	code_BD78	                movx    @DPTR, A
code:0000BDBA	code_BD78	                movx    @DPTR, A
code:0000BDC0	code_BD78	                movx    @DPTR, A
code:0000BDC8	code_BD78	                movx    @DPTR, A
code:0000BDCC	code_BD78	                movx    A, @DPTR
code:0000BDD7	code_BD78	                movx    A, @DPTR
code:0000BDD9	code_BD78	                movx    @DPTR, A
code:0000BDDF	code_BD78	                movx    @DPTR, A
code:0000BDE5	code_BDE1	                movx    @DPTR, A
code:0000BDE8	code_BDE1	                movx    @DPTR, A
code:0000BDED	code_BDE1	                movx    @DPTR, A
code:0000BDF0	code_BDE1	                movx    @DPTR, A
code:0000BDFD	code_BDE1	                movx    A, @DPTR
code:0000BE00	code_BDE1	                movx    A, @DPTR
code:0000BE0F	code_BDE1	                movx    @DPTR, A
code:0000BE17	code_BE12	                movx    @DPTR, A
code:0000BE1C	code_BE12	                movx    @DPTR, A
code:0000BE24	code_BE12	                movx    @DPTR, A
code:0000BE28	code_BE12	                movx    A, @DPTR
code:0000BE2B	code_BE12	                movx    A, @DPTR
code:0000BE36	code_BE2C	                movx    A, @DPTR
code:0000BE39	code_BE2C	                movx    A, @DPTR
code:0000BE69	code_BE61	                movx    @DPTR, A
code:0000BE90	code_BE61	                movx    A, @DPTR
code:0000BE95	code_BE61	                movx    A, @DPTR
code:0000BE9C	code_BE96	                movx    @DPTR, A
code:0000BF69	code_BF63	                movx    @DPTR, A
code:0000BF6C	code_BF63	                movx    A, @DPTR
code:0000BF82	code_BF7F	                movx    A, @DPTR
code:0000BF85	code_BF7F	                movx    @DPTR, A
code:0000BF86	code_BF7F	                movx    A, @DPTR
code:0000BF89	code_BF7F	                movx    @DPTR, A
code:0000BF92	code_BF7F	                movx    A, @DPTR
code:0000BF95	code_BF7F	                movx    @DPTR, A
code:0000C331	code_C01C	                movx    A, @DPTR
code:0000C352	code_C01C	                movx    @DPTR, A
code:0000C37D	code_1951	                movx    A, @DPTR
code:0000C656	code_C655	                movx    @DPTR, A
code:0000C681	code_C655	                movx    A, @DPTR
code:0000C684	code_C655	                movx    @DPTR, A
code:0000C68D	code_C655	                movx    A, @DPTR
code:0000C690	code_C655	                movx    @DPTR, A
code:0000C694	code_C655	                movx    A, @DPTR
code:0000C697	code_C655	                movx    @DPTR, A
code:0000C69B	code_C655	                movx    A, @DPTR
code:0000C69F	code_C655	                movx    @DPTR, A
code:0000C6A3	code_C655	                movx    A, @DPTR
code:0000C6AA	code_C655	                movx    @DPTR, A
code:0000C6B8	code_C655	                movx    A, @DPTR
code:0000C6C0	code_C655	                movx    A, @DPTR
code:0000C6C5	code_C655	                movx    A, @DPTR
code:0000C6CA	code_C655	                movx    A, @DPTR
code:0000D532		                movx    A, @DPTR
code:0000D559		                movx    @DPTR, A
code:0000D58F	code_D570	                movx    @DPTR, A
code:0000D5B9	code_D570	                movx    A, @DPTR
code:0000D5CA	code_D570	                movx    A, @DPTR
code:0000D5D7	code_D570	                movx    A, @DPTR
code:0000D5DA	code_D570	                movx    @DPTR, A
code:0000D5DE	code_D570	                movx    A, @DPTR
code:0000DBC2	code_DBBC	                movx    @DPTR, A
code:0000E32A	code_E122	                movx    @DPTR, A
code:0000E32D	code_E122	                movx    @DPTR, A
code:0000E331	code_E122	                movx    A, @DPTR
code:0000E375	code_E122	                movx    A, @DPTR
code:0000E377	code_E122	                movx    @DPTR, A
code:0000E37E	code_E122	                movx    @DPTR, A
code:0000E382	code_E122	                movx    A, @DPTR
code:0000E387	code_E122	                movx    A, @DPTR
code:0000E397	code_E122	                movx    @DPTR, A
code:0000E3DD	code_E122	                movx    A, @DPTR
code:0000E3DF	code_E122	                movx    @DPTR, A
code:0000E3E6	code_E122	                movx    @DPTR, A
code:0000E3EA	code_E122	                movx    A, @DPTR
code:0000E3EF	code_E122	                movx    A, @DPTR
code:0000E3F9	code_E122	                movx    @DPTR, A
code:0000E3FE	code_E122	                movx    @DPTR, A
code:0000E402	code_E122	                movx    A, @DPTR
code:0000E407	code_E122	                movx    A, @DPTR
code:0000E415	code_E122	                movx    A, @DPTR
code:0000E426	code_E122	                movx    A, @DPTR
code:0000E43B	code_E122	                movx    @DPTR, A
code:0000E43E	code_E122	                movx    @DPTR, A
code:0000E442	code_E122	                movx    A, @DPTR
code:0000E445	code_E122	                movx    A, @DPTR
code:0000E455	code_E122	                movx    @DPTR, A
code:0000E459	code_E122	                movx    A, @DPTR
code:0000E45C	code_E122	                movx    A, @DPTR
code:0000E469	code_E122	                movx    A, @DPTR
code:0000E47F	code_E122	                movx    @DPTR, A
code:0000E482	code_E122	                movx    @DPTR, A
code:0000E48D	code_E122	                movx    @DPTR, A
code:0000E490	code_E122	                movx    @DPTR, A
code:0000E494	code_E122	                movx    A, @DPTR
code:0000E49A	code_E122	                movx    A, @DPTR
code:0000E49D	code_E122	                movx    A, @DPTR
code:0000E4A2	code_E122	                movx    @DPTR, A
code:0000E4A5	code_E122	                movx    @DPTR, A
code:0000E4A9	code_E122	                movx    A, @DPTR
code:0000E4AC	code_E122	                movx    A, @DPTR
code:0000E4B1	code_E122	                movx    @DPTR, A
code:0000E4B4	code_E122	                movx    @DPTR, A
code:0000E4B8	code_E122	                movx    A, @DPTR
code:0000E4BB	code_E122	                movx    A, @DPTR
code:0000E4C0	code_E122	                movx    @DPTR, A
code:0000E4C3	code_E122	                movx    @DPTR, A
code:0000E4CB	code_E122	                movx    @DPTR, A
code:0000E4CE	code_E122	                movx    @DPTR, A
code:0000E4D3	code_E122	                movx    @DPTR, A
code:0000E4D6	code_E122	                movx    @DPTR, A
code:0000E4DB	code_E122	                movx    @DPTR, A
code:0000E4DE	code_E122	                movx    @DPTR, A
code:0000E4E2	code_E122	                movx    A, @DPTR
code:0000E4E4	code_E122	                movx    @DPTR, A
code:0000F805	code_F89D	                movx    A, @DPTR
code:0000F832	code_F89D	                movx    A, @DPTR
code:0000F8AE	code_F89D	                movx    @DPTR, A
code:0000F8B4	code_F89D	                movx    @DPTR, A
code:0000F8B6	code_F89D	                movx    @DPTR, A
code:0000F8B8	code_F89D	                movx    @DPTR, A
code:0000F8BD	code_F89D	                movx    @DPTR, A
code:0000F8C7	code_F89D	                movx    @DPTR, A
code:0000F8CA	code_F89D	                movx    @DPTR, A
code:0000F8CE	code_F89D	                movx    @DPTR, A
code:0000F8D4	code_F89D	                movx    @DPTR, A
code:0000F8D6	code_F89D	                movx    @DPTR, A
code:0000F8DC	code_F89D	                movx    @DPTR, A
code:0000F8E0	code_F89D	                movx    @DPTR, A
code:0000F8E3	code_F89D	                movx    @DPTR, A
code:0000F8E9	code_F89D	                movx    @DPTR, A
code:0000FAAA	code_FAA3	                movx    A, @DPTR
code:0000FAAD	code_FAA3	                movx    A, @DPTR
code:0000FAB0	code_FAA3	                movx    A, @DPTR
code:0000FAB3	code_FAA3	                movx    A, @DPTR
code:0000FAFB	code_FAFA	                movx    A, @DPTR
code:0000FAFF	code_FAFA	                movx    @DPTR, A
code:0000FC9E	code_FC99	                movx    @DPTR, A
